id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3083,Home in Oakland · ★4.72 · 1 bedroom · 1 bed · 1 shared bath,3518,Traci,,Prescott,37.81013,-122.29266,Private room,47,3,58,2023-07-06,0.52,7,164,3,
3264,Home in Oakland · ★4.52 · 2 bedrooms · 1 bed · 1 shared bath,3241,Rebecca,,Temescal,37.83522,-122.26099,Private room,57,12,37,2022-09-08,0.21,4,46,0,
5739,Guest suite in Oakland · ★4.97 · Studio · 1 bed · 1 bath,9276,Leah And Gyorgy,,Adams Point,37.81266314006893,-122.25804724258587,Entire home/apt,77,4,314,2023-08-26,1.82,1,71,18,
23637,Home in Oakland · ★4.87 · 1 bedroom · 1 bed · 1 private bath,93339,Mika,,Montclair,37.82994,-122.20976,Private room,75,7,52,2022-08-27,0.32,1,359,0,
24916,Guest suite in Oakland · ★4.53 · Studio · 2 beds · 1 bath,98716,Judy,,Piedmont Avenue,37.83169,-122.25175,Entire home/apt,111,21,138,2023-06-20,0.86,2,253,6,
29521,Home in Oakland · ★4.63 · 2 bedrooms · 2 beds · 1 bath,124220,Kymi,,Shafter,37.83618,-122.25581,Entire home/apt,150,5,36,2022-11-23,0.24,2,53,1,
31573,Home in Oakland · ★4.48 · 3 bedrooms · 3 beds · 1.5 baths,98716,Judy,,Piedmont Avenue,37.83234,-122.25101,Entire home/apt,221,28,172,2023-01-24,1.10,2,77,12,
36702,Home in Oakland · ★4.89 · 2 bedrooms · 3 beds · 1 bath,119361,Vito,,Bushrod,37.84219,-122.26779,Entire home/apt,125,7,37,2023-04-25,0.23,1,204,5,
43343,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,147060,Jonathan,,Bushrod,37.84298,-122.26222,Entire home/apt,245,14,23,2019-06-24,0.21,2,0,0,
46787,Home in Oakland · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,3241,Rebecca,,Temescal,37.83571,-122.25887,Private room,74,14,17,2023-08-17,0.11,4,157,1,
46908,Home in Oakland · ★4.95 · 2 bedrooms · 4 beds · 1 bath,210654,Mercedes,,Upper Dimond,37.80252,-122.20828,Entire home/apt,165,30,20,2023-09-02,0.34,2,247,6,
56645,Home in Oakland · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,268781,Pam,,Millsmont,37.7769,-122.18037,Private room,40,21,42,2023-08-27,0.55,4,258,6,
85974,Guesthouse in Oakland · ★4.87 · 1 bedroom · 1 bed · 1 bath,471600,Ericka,,Shafter,37.84211,-122.25203,Entire home/apt,188,3,240,2023-09-14,1.60,1,353,11,
136250,Guesthouse in Oakland · ★5.0 · 2 bedrooms · 1 bed · 1 bath,667229,Mark,,Merriwood,37.83699,-122.21452,Entire home/apt,80,30,13,2023-04-11,0.16,2,108,2,
151422,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,729004,Amy,,Adams Point,37.81089,-122.25396,Entire home/apt,160,1,10,2022-07-09,0.09,1,257,0,
169599,Guest suite in Oakland · ★4.65 · 2 bedrooms · 1 bed · 1 bath,808353,Marlene,,Millsmont,37.77847,-122.17615,Entire home/apt,115,2,192,2019-12-24,1.30,1,282,0,
208186,Home in Oakland · ★4.74 · 1 bedroom · 1 bed · 1 private bath,1024552,LaurieAnn,,Cleveland Heights,37.80732,-122.24293,Private room,70,3,305,2023-07-02,2.10,2,283,5,
242472,Guest suite in Oakland · ★4.51 · 1 bedroom · 1 bed · 1 private bath,1272555,Amy,,Rockridge,37.84453,-122.25127,Private room,139,2,209,2022-10-03,1.44,2,179,2,
266996,Condo in Oakland · ★4.78 · Studio · 2 beds · 1 bath,1399511,Janet & Fred,,Northgate,37.81307,-122.2678,Entire home/apt,79,31,127,2023-08-17,0.89,1,292,3,
267025,Guesthouse in Oakland · ★4.55 · Studio · 1 bed · 1 bath,1400283,Cristi,,Longfellow,37.83406,-122.26856,Entire home/apt,91,2,33,2023-08-20,0.29,1,0,2,
341704,Home in Oakland · ★4.75 · 2 bedrooms · 2 beds · 1 bath,1700817,Jennifer,,Temescal,37.83461,-122.25536,Entire home/apt,138,4,28,2017-12-31,0.20,1,73,0,
348534,Home in Oakland · ★4.65 · 2 bedrooms · 1 bed · 1 bath,1766074,Michael,,Forestland,37.8449,-122.20309,Entire home/apt,106,2,119,2023-08-14,0.88,1,184,5,
352676,Home in Oakland · ★4.91 · 1 bedroom · 2 beds · 1 bath,1785828,Rebecca,,Bushrod,37.84194,-122.26528,Entire home/apt,87,2,203,2023-09-15,1.49,1,138,13,
387039,Rental unit in Oakland · ★4.74 · Studio · 1 bed · 1 private bath,1936623,Trevor,,Bushrod,37.84225,-122.26756,Private room,69,60,20,2022-09-30,0.15,3,321,1,
387040,Rental unit in Oakland · ★4.88 · 1 bedroom · 2 beds · 1 bath,1936623,Trevor,,Bushrod,37.84214,-122.26748,Entire home/apt,99,61,8,2015-08-31,0.07,3,352,0,
470028,Villa in Oakland · ★4.88 · 3 bedrooms · 3 baths,1748565,Foster,,Upper Rockridge,37.85138,-122.23584,Entire home/apt,2500,4,8,2018-04-21,0.07,1,343,0,
489957,Rental unit in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,38166,Natalie,,Shafter,37.83706,-122.25786,Private room,85,3,4,2022-09-28,0.03,1,0,1,
503632,Home in Oakland · ★4.81 · 2 bedrooms · 3 beds · 1 bath,1481714,Susie,,Shafter,37.83885,-122.25628,Entire home/apt,185,3,203,2023-09-07,1.49,1,84,10,
504137,Home in Oakland · ★4.93 · 1 bedroom · 1 bed · 1 bath,2486127,Serena,,Sausal Creek,37.79756,-122.22064,Private room,75,7,14,2022-12-01,0.10,1,365,1,
510260,Bungalow in Oakland · ★4.80 · 1 bedroom · 1 bed · 1 shared bath,176669,Barbara,,Longfellow,37.83388,-122.27236,Private room,54,1,411,2023-09-10,3.01,1,56,13,
515183,Condo in Oakland · ★4.89 · 2 bedrooms · 1 bed · 1.5 baths,266136,Stephen,,Shafter,37.842,-122.25807,Entire home/apt,299,3,39,2023-05-15,0.30,1,253,2,
518786,Home in Oakland · ★4.77 · 2 bedrooms · 2 beds · 1 bath,1272555,Amy,,Shafter,37.84171,-122.25377,Entire home/apt,495,3,13,2023-02-23,0.22,2,237,2,
520075,Home in Oakland · ★4.80 · 4 bedrooms · 5 beds · 2 baths,2559751,Sylvie,,Fairview Park,37.84661,-122.25534,Entire home/apt,350,4,5,2017-08-16,0.04,1,239,0,
527348,Home in Oakland · ★4.50 · 1 bedroom · 1 bed · 1 bath,627498,Monika,,Castlemont,37.7535,-122.16069,Entire home/apt,114,7,41,2021-08-30,0.30,1,134,0,
541975,Rental unit in Oakland · ★4.92 · 1 bedroom · 1 bed · 1 bath,1905683,Patricia,,Merriwood,37.85391,-122.21926,Entire home/apt,2400,365,28,2016-02-23,0.21,1,359,0,
564610,Home in Berkeley · ★5.0 · 1 bedroom · 1 bed · 1 private bath,2776801,Fred,,Claremont,37.85624,-122.22492,Private room,137,21,28,2021-11-25,0.28,1,260,0,
566065,Rental unit in Oakland · ★4.73 · 1 bedroom · 2 beds · 1 bath,2783571,Stella,,Shepherd Canyon,37.8348,-122.18895,Entire home/apt,88,21,35,2023-07-29,0.28,1,77,4,
583395,Home in Oakland · ★4.84 · 1 bedroom · 1 bed · 1 bath,2318042,Karen,,Montclair,37.832,-122.20522,Entire home/apt,89,2,345,2023-09-08,2.54,1,320,32,
620731,Home in Oakland · ★4.94 · 3 bedrooms · 3 beds · 2.5 baths,3075754,Mike,,Piedmont Avenue,37.82152,-122.25335,Entire home/apt,699,4,17,2023-02-19,0.24,1,173,2,
634312,Guest suite in Oakland · ★4.85 · 1 bedroom · 1 bed · 1 bath,3158871,Gene,,Oakmore,37.80664,-122.20918,Entire home/apt,110,3,283,2022-05-21,2.10,1,363,0,
634476,Rental unit in Oakland · ★4.68 · 1 bedroom · 1 bed · 1 bath,98818,Josh,,Oakland Ave-Harrison St,37.81854,-122.25915,Entire home/apt,135,6,23,2023-05-01,0.21,1,50,3,
637542,Home in Oakland · ★5.0 · 1 bedroom · 1 bed · 1 bath,528378,Bashir & Heather,,Allendale,37.78851,-122.20825,Entire home/apt,315,3,4,2012-12-29,0.03,2,365,0,
665674,Guest suite in Piedmont · ★4.88 · 1 bedroom · 2 beds · 1 bath,1910565,Jane And Ed,,Piedmont Avenue,37.82364,-122.25019,Entire home/apt,166,30,157,2023-04-06,1.18,1,260,3,
669183,Home in Oakland · ★4.96 · 1 bedroom · 1 bed · 1 private bath,348493,Linda,,Piedmont Avenue,37.82364,-122.24942,Private room,100,30,75,2022-09-10,0.56,1,178,0,
674934,Home in Oakland · 1 bedroom · 1 bed · 1 bath,661426,Kemar,,Prescott,37.81406,-122.29781,Private room,135,1,1,2016-08-21,0.01,1,0,0,
702642,Home in Oakland · ★4.92 · 2 bedrooms · 4 beds · 2 baths,3606912,Anki And Jonathan,,Piedmont Avenue,37.82987,-122.25396,Entire home/apt,204,3,109,2023-07-17,0.84,1,81,7,
