id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138592,Home in San Francisco · ★4.91 · 4 bedrooms · 4 beds · 2 baths,648553,Julie & Brad,,Noe Valley,37.75635,-122.42864,Entire home/apt,1250,5,34,2023-08-18,0.23,1,80,2,Pending Application
474107,Home in San Francisco · ★4.91 · 2 bedrooms · 2 beds · 1 shared bath,2318089,Inés,,Excelsior,37.72369,-122.42865,Private room,79,2,149,2023-11-14,1.92,1,196,20,STR-0007772
487019,Rental unit in San Francisco · ★4.53 · 3 bedrooms · 4 beds · 2 baths,2410550,Cecile,,Potrero Hill,37.75622,-122.39821,Entire home/apt,249,5,36,2023-07-18,0.26,1,202,7,STR-0001599
487499,Rental unit in San Francisco · ★4.78 · 1 bedroom · 1 bed · 1 bath,1682183,Daniel,,Mission,37.75884,-122.42232,Entire home/apt,125,30,196,2023-11-04,1.41,1,149,4,
1163946,Condo in San Francisco · 2 bedrooms · 2 beds · 1 bath,1918239,Jen,,Mission,37.76111,-122.42082,Entire home/apt,70,30,2,2016-10-07,0.02,1,0,0,
1174701,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,6429436,Janette,,Russian Hill,37.80673,-122.41998,Entire home/apt,271,2,1,2023-07-17,0.21,9,361,1,Exempt
1178260,Rental unit in San Francisco · ★4.94 · 2 bedrooms · 2 beds · 1.5 baths,6446722,John,,North Beach,37.80069,-122.40586,Entire home/apt,160,30,122,2023-11-17,0.96,1,364,4,
1195173,Rental unit in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,6531356,Jennifer,,Nob Hill,37.79104,-122.41551,Private room,70,30,28,2023-09-30,0.22,1,269,4,
1550913,Guest suite in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1 bath,497158,Seth And Alexa,,Mission,37.75141,-122.4198,Entire home/apt,150,5,234,2023-10-11,1.88,1,52,15,STR-0000051
1574848,Rental unit in San Francisco · ★4.70 · 1 bedroom · 1 bed · 1 bath,4106299,Henna,,North Beach,37.80101,-122.4022,Private room,110,30,23,2017-12-16,0.21,3,354,0,1082059
1578597,Guest suite in San Francisco · ★4.70 · Studio · 1 bed · 1 bath,8390846,Jon-Pierre (& Joel),,Potrero Hill,37.75956,-122.40186,Entire home/apt,156,1,479,2023-11-17,4.02,1,345,13,2023-004095STR
2058119,Rental unit in San Francisco · ★4.80 · 1 bedroom · 1 bed · 1 bath,10538306,Javi,,Mission,37.76155,-122.42443,Private room,100,30,82,2015-03-02,0.68,1,365,0,
958,Serviced apartment in San Francisco · ★4.87 · 1 bedroom · 2 beds · 1 bath,1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,181,2,415,2023-11-06,2.37,1,204,44,City Registration Pending
5858,Rental unit in San Francisco · ★4.88 · 2 bedrooms · 2 beds · 2 baths,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,110,2017-08-06,0.62,1,365,0,
8142,Rental unit in San Francisco · ★4.70 · 1 bedroom · 1 bed · 4 shared baths,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,10,2023-07-30,0.09,15,363,1,
8339,Condo in San Francisco · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,24215,Rosy,,Western Addition,37.77564,-122.43642,Entire home/apt,675,5,28,2019-06-28,0.16,2,365,0,STR-0000264
8739,Condo in San Francisco · ★4.92 · 1 bedroom · 1 bed · 1 private bath,7149,Ivan & Wendy,,Mission,37.7603,-122.42197,Private room,122,1,805,2023-11-12,4.61,2,0,44,STR-0000028
10537,Place to stay in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1.5 shared baths,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,95,1,23,2023-09-16,0.14,2,365,5,2022-011003STR
10578,Rental unit in San Francisco · ★4.93 · Studio · 1 bed · 1 bath,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,100,30,18,2015-05-17,0.12,1,365,0,
12041,Rental unit in San Francisco · ★4.0 · 1 bedroom · 2 beds · 3 shared baths,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,7,2022-06-11,0.05,15,365,0,
12042,Rental unit in San Francisco · ★3.20 · 1 bedroom · 2 beds · 3 shared baths,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,5,2015-10-18,0.04,15,365,0,
12522,Rental unit in San Francisco · ★4.93 · 1 bedroom · 1 bed · 1.5 shared baths,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,471,2023-11-13,2.79,1,46,31,STR-0000057
18231,Rental unit in San Francisco · ★4.84 · Studio · 2 beds · 1 bath,70224,Arlene Helfand,,Noe Valley,37.74916,-122.42971,Entire home/apt,95,30,69,2023-08-13,0.42,1,235,1,
18904,Home in San Francisco · ★4.89 · 1 bedroom · 1 bed · 1 private bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,126,2,469,2023-11-20,3.21,1,63,31,STR-0000094
21334,Loft in San Francisco · ★4.88 · 1 bedroom · 1 bed · 1 bath,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,149,30,124,2023-08-01,0.75,1,354,1,City registration pending
24463,Condo in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 private bath,99128,Cathryn,,Potrero Hill,37.75565,-122.40125,Private room,157,2,377,2023-11-19,2.29,2,356,28,STR-0000036
24723,Guest suite in San Francisco · ★4.85 · 1 bedroom · 2 beds · 1 bath,100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,181,5,443,2023-11-26,2.66,2,46,47,Pending Application
25094,Home in San Francisco · ★4.97 · 1 bedroom · 1 bed · 1 shared bath,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,165,5,68,2023-11-04,0.75,1,364,10,STR-0002528
26488,Rental unit in San Francisco · ★4.86 · 1 bedroom · 1 bed · 0 baths,112300,Micheal,,Financial District,37.79146,-122.3932,Entire home/apt,1000,360,48,2012-06-21,0.29,1,365,0,
27028,Condo in San Francisco · ★4.78 · 1 bedroom · 2 beds · 1 private bath,7149,Ivan & Wendy,,Mission,37.76005,-122.42208,Private room,164,1,27,2023-03-06,0.26,2,0,1,STR-0000028
29373,Home in San Francisco · ★4.92 · 2 bedrooms · 2 beds · 2 baths,126263,Cecilia,,Bernal Heights,37.73871,-122.41167,Entire home/apt,190,4,25,2023-10-02,0.17,2,0,7,STR-0000280
29557,Rental unit in San Francisco · ★4.97 · 1 bedroom · 2 beds · 1 bath,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,200,2,126,2023-11-26,0.78,1,0,15,STR-0001135
32414,Rental unit in San Francisco · ★4.81 · 2 bedrooms · 2 beds · 1 bath,140251,Lisa,,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,93,2019-09-29,0.57,1,306,0,City registration pending
33578,Home in San Francisco · ★4.95 · 1 bedroom · 1 bed · 1 bath,145258,Kepa,,Potrero Hill,37.76451,-122.39643,Entire home/apt,290,1,749,2023-11-30,4.66,2,349,42,STR-0000073
38935,Rental unit in San Francisco · ★4.98 · 1 bedroom · 1 bed · 1 private bath,167046,Nani,,Mission,37.7493,-122.41965,Private room,145,3,44,2023-06-25,0.27,2,5,3,2023-004141STR
39418,Rental unit in San Francisco · ★4.92 · Studio · 1 bed · 1 bath,169184,Therese And Nelson,,Bernal Heights,37.741,-122.42018,Entire home/apt,79,30,26,2023-01-28,0.17,1,101,1,
40092,Rental unit in San Francisco · ★4.63 · 1 bedroom · 1 bed · 1 bath,172182,Brian & Leah,,Mission,37.7617,-122.41887,Entire home/apt,87,30,106,2023-08-02,0.66,2,157,2,
41172,Home in San Francisco · ★4.91 · 1 bedroom · 1 bed · 1 private bath,53314,Sue,,Bernal Heights,37.74132,-122.41818,Private room,115,30,301,2023-09-08,1.86,1,365,3,Pending Application
41423,Cottage in San Francisco · ★4.47 · Studio · 1 bed · 1 bath,180715,Dana,,Glen Park,37.7369,-122.43451,Entire home/apt,121,30,157,2023-08-13,0.97,1,365,2,30 Day Minimum Stay Required
41609,Condo in San Francisco · ★4.97 · 1 bedroom · 2 beds · 1 bath,54299,Peter,,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,165,30,29,2023-08-12,0.18,1,251,2,
42060,Condo in San Francisco · ★5.0 · 1 bedroom · 1 bed · 1 bath,183862,Cole,,Western Addition,37.769626539319106,-122.4321040113865,Entire home/apt,130,60,7,2023-04-05,0.04,1,89,1,
44032,Rental unit in San Francisco · ★4.84 · 1 bedroom · 1 bed · 1 bath,98733,David + Tina,,Mission,37.75158,-122.41158,Entire home/apt,98,30,301,2023-10-30,1.86,1,53,5,
44680,Rental unit in San Francisco · ★5.0 · 1 bedroom · 2 beds · 1 bath,196626,Paul,,Mission,37.75131,-122.42167,Entire home/apt,150,60,3,2010-10-04,0.02,1,173,0,
47682,Rental unit in San Francisco · ★4.86 · 1 bedroom · 1 bed · 1 bath,216682,Jay,,Pacific Heights,37.79186,-122.42429,Entire home/apt,112,30,35,2023-08-12,0.22,9,365,1,
